title,bazdid,karbaran,minute,title1,ژانر,کشور,سال,imdb,number of episod,قسمت,فصل,serial,film
هفت دقیقه تا پاییز,15,13,3.57,هفت دقیقه تا پاییز,"خانوادگی,درام",ایران,1389,0,0,0,0,NULL,1
هفت دقیقه تا پاییز,15,13,3.57,هفت دقیقه تا پاییز,"خانوادگی,درام",ایران,1389,0,0,0,0,NULL,1
هفت دقیقه تا پاییز,15,13,3.57,هفت دقیقه تا پاییز,"خانوادگی,درام",ایران,1389,0,0,0,0,NULL,1
هفت دلاور,63,18,10.83,هفت دلاور,"حادثه‌ای,ماجراجویی,وسترن",آمریکا,1394,6.9,0,0,0,NULL,1
هفت دلاور,63,18,10.83,هفت دلاور,"حادثه‌ای,ماجراجویی,وسترن",آمریکا,1394,6.9,0,0,0,NULL,1
هفت دلاور,63,18,10.83,هفت دلاور,"حادثه‌ای,ماجراجویی,وسترن",آمریکا,1394,6.9,0,0,0,NULL,1
هفت دلاور,63,18,10.83,هفت دلاور,"حادثه‌ای,ماجراجویی,وسترن",آمریکا,1394,6.9,0,0,0,NULL,1
هفت دلاور,63,18,10.83,هفت دلاور,"حادثه‌ای,ماجراجویی,وسترن",آمریکا,1394,6.9,0,0,0,NULL,1
هفت دلاور,63,18,10.83,هفت دلاور,"حادثه‌ای,ماجراجویی,وسترن",آمریکا,1394,6.9,0,0,0,NULL,1
هفت دلاور,63,18,10.83,هفت دلاور,"حادثه‌ای,ماجراجویی,وسترن",آمریکا,1394,6.9,0,0,0,NULL,1
هفت دلاور,63,18,10.83,هفت دلاور,"حادثه‌ای,ماجراجویی,وسترن",آمریکا,1394,6.9,0,0,0,NULL,1
هفت سین,1,1,0.18,هفت سین,خانوادگی،اجتماعی،عاشقانه,ایران,1392,0,0,0,0,NULL,1
همراه با خدایان: 49 روز آخر,20,7,4.85,NULL,درام،اکشن,کره جنوبی,1397,7.3,NULL,NULL,NULL,NULL,NULL
همراه با خدایان: 49 روز آخر,20,7,4.85,NULL,درام،اکشن,کره جنوبی,1397,7.3,NULL,NULL,NULL,NULL,NULL
همراه با خدایان: 49 روز آخر,20,7,4.85,NULL,درام،اکشن,کره جنوبی,1397,7.3,NULL,NULL,NULL,NULL,NULL
همراه با خدایان: 49 روز آخر,20,7,4.85,NULL,درام،اکشن,کره جنوبی,1397,7.3,NULL,NULL,NULL,NULL,NULL
همسر,54,34,22.9,NULL,درام,انگلیس,1396,7.2,NULL,NULL,NULL,NULL,NULL
همسر,54,34,22.9,NULL,درام,انگلیس,1396,7.2,NULL,NULL,NULL,NULL,NULL
همسر,54,34,22.9,NULL,درام,انگلیس,1396,7.2,NULL,NULL,NULL,NULL,NULL
همسر,54,34,22.9,NULL,درام,انگلیس,1396,7.2,NULL,NULL,NULL,NULL,NULL
همسر,54,34,22.9,NULL,درام,انگلیس,1396,7.2,NULL,NULL,NULL,NULL,NULL
همسر بی نظیر,105,59,32.84,همسر بی نظیر,NULL,هند,1378,0,0,0,0,NULL,1
همشهری کین,3,1,0.12,همشهری کین,NULL,"انگلستان ",1319,8.3,0,0,0,NULL,1
هندی سطح متوسط,43,25,14.35,هندی سطح متوسط,کمدی،درام,آمریکا,1396,7.8,0,0,0,NULL,1
اسکای لند قسمت 1,13,8,1.85,"اسکای لند ",ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,1,1,1,NULL
اسکای لند قسمت 21,1,1,0.41,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 21,1,1,0.41,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 21,1,1,0.41,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 21,1,1,0.41,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 22,1,1,0.41,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 22,1,1,0.41,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 22,1,1,0.41,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 23,1,1,0.41,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 23,1,1,0.41,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 23,1,1,0.41,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 24,1,1,0.41,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 24,1,1,0.41,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 25,1,1,0.39,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 25,1,1,0.39,NULL,ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,NULL,NULL,NULL,NULL
اسکای لند قسمت 8,1,1,0.1,"اسکای لند ",ماجراجویی،علمی-تخیلی،انیمیشن,"کانادا ",1386,7.3,20,8,1,1,NULL
اسلاگترا قسمت 1,193,92,55,"اسلاگترا ",اکشن،کمدی,"کانادا ",1391,6.3,1,1,1,1,NULL
اسمورف ها: دهکده گمشده,102,43,32.07,اسمورف ها: دهکده گمشده,NULL,آمریکا,1395,6,0,0,0,NULL,1
اسید,45,18,7.23,اسید,NULL,ایران,1394,0,0,0,0,NULL,1
اطفال المطر,1,1,0.02,اطفال المطر,فیلم کوتاه,ایران,1395,0,0,0,0,NULL,1
اعترافات ذهن خطرناک من,25,11,4.73,اعترافات ذهن خطرناک من,NULL,ایران,1393,0,0,0,0,NULL,1
اعمال خشونت,28,19,9.55,اعمال خشونت,اکشن، جنایی,کانادا,1397,5.2,0,0,0,NULL,1
اغما قسمت 1,2,2,0.8,"اغما ","درام,رازآلود ",ایران,1386,0,33,1,1,1,NULL
اغما قسمت 10,5,4,3.08,"اغما ","درام,رازآلود ",ایران,1386,0,33,10,1,1,NULL
اغما قسمت 11,1,1,0.38,"اغما ","درام,رازآلود ",ایران,1386,0,33,11,1,1,NULL
اغما قسمت 12,4,2,0.58,"اغما ","درام,رازآلود ",ایران,1386,0,33,12,1,1,NULL
اغما قسمت 13,3,2,1.08,"اغما ","درام,رازآلود ",ایران,1386,0,33,13,1,1,NULL
اغما قسمت 14,2,2,0.47,"اغما ","درام,رازآلود ",ایران,1386,0,33,14,1,1,NULL
اغما قسمت 15,2,2,1.31,"اغما ","درام,رازآلود ",ایران,1386,0,33,15,1,1,NULL
اغما قسمت 16,3,2,1.04,"اغما ","درام,رازآلود ",ایران,1386,0,33,16,1,1,NULL
اغما قسمت 17,3,2,0.73,"اغما ","درام,رازآلود ",ایران,1386,0,33,17,1,1,NULL
اغما قسمت 18,2,2,0.89,"اغما ","درام,رازآلود ",ایران,1386,0,33,18,1,1,NULL
اغما قسمت 19,1,1,0.59,"اغما ","درام,رازآلود ",ایران,1386,0,33,19,1,1,NULL
اغما قسمت 2,3,2,0.6,"اغما ","درام,رازآلود ",ایران,1386,0,33,2,1,1,NULL
اغما قسمت 20,6,3,1,"اغما ","درام,رازآلود ",ایران,1386,0,33,20,1,1,NULL
اغما قسمت 21,3,2,1.07,"اغما ","درام,رازآلود ",ایران,1386,0,33,21,1,1,NULL
اغما قسمت 22,2,2,0.91,"اغما ","درام,رازآلود ",ایران,1386,0,33,22,1,1,NULL
اغما قسمت 23,3,3,0.81,"اغما ","درام,رازآلود ",ایران,1386,0,33,23,1,1,NULL
اغما قسمت 24,4,3,0.9,"اغما ","درام,رازآلود ",ایران,1386,0,33,24,1,1,NULL
اغما قسمت 25,3,1,0.69,"اغما ","درام,رازآلود ",ایران,1386,0,33,25,1,1,NULL
اغما قسمت 26,3,2,0.55,"اغما ","درام,رازآلود ",ایران,1386,0,33,26,1,1,NULL
اغما قسمت 27,7,3,1.04,"اغما ","درام,رازآلود ",ایران,1386,0,33,27,1,1,NULL
اغما قسمت 28,8,3,0.99,"اغما ","درام,رازآلود ",ایران,1386,0,33,28,1,1,NULL
اغما قسمت 29,6,5,0.75,"اغما ","درام,رازآلود ",ایران,1386,0,33,29,1,1,NULL
اغما قسمت 3,4,4,2.8,"اغما ","درام,رازآلود ",ایران,1386,0,33,3,1,1,NULL
اغما قسمت 30,9,5,2.07,"اغما ","درام,رازآلود ",ایران,1386,0,33,30,1,1,NULL
اغما قسمت 31,10,7,1.8,"اغما ","درام,رازآلود ",ایران,1386,0,33,31,1,1,NULL
اغما قسمت 4,8,5,1.38,"اغما ","درام,رازآلود ",ایران,1386,0,33,4,1,1,NULL
اغما قسمت 5,13,7,1.82,"اغما ","درام,رازآلود ",ایران,1386,0,33,5,1,1,NULL
اغما قسمت 6,10,6,2.53,"اغما ","درام,رازآلود ",ایران,1386,0,33,6,1,1,NULL
اغما قسمت 7,4,3,2.2,"اغما ","درام,رازآلود ",ایران,1386,0,33,7,1,1,NULL
اغما قسمت 8,4,2,1.28,"اغما ","درام,رازآلود ",ایران,1386,0,33,8,1,1,NULL
اغما قسمت 9,7,3,1.18,"اغما ","درام,رازآلود ",ایران,1386,0,33,9,1,1,NULL
افسون گل سرخ,2,2,0.04,افسون گل سرخ,خانوادگی، اجتماعی,ایران,1394,0,0,0,0,NULL,1
افسونگر,10,7,3.87,افسونگر,درام,ایران,1395,0,0,0,0,NULL,1
افسونگر,10,7,3.87,افسونگر,درام,ایران,1395,0,0,0,0,NULL,1
افسونگر,10,7,3.87,افسونگر,درام,ایران,1395,0,0,0,0,NULL,1
افسونگر,10,7,3.87,افسونگر,درام,ایران,1395,0,0,0,0,NULL,1
افسونگر,10,7,3.87,افسونگر,درام,ایران,1395,0,0,0,0,NULL,1
افسونگر,10,7,3.87,افسونگر,درام,ایران,1395,0,0,0,0,NULL,1
اکولایزر,114,51,40.08,اکولایزر,NULL,آمریکا,1393,7.2,0,0,0,NULL,1
اکولایزر 2,60,29,27.75,"اکولایزر ",NULL,"آمریکا ",1396,6.8,0,0,0,NULL,1
اگر باران ببارد,6,6,0.58,اگر باران ببارد,NULL,ایران,1386,0,0,0,0,NULL,1
اگزما,408,197,118.9,اگزما,درام,ایران,1395,NULL,0,0,0,NULL,1
اگزما,408,197,118.9,اگزما,درام,ایران,1395,NULL,0,0,0,NULL,1
اگزما,408,197,118.9,اگزما,درام,ایران,1395,NULL,0,0,0,NULL,1
اگزما,408,197,118.9,اگزما,درام,ایران,1395,NULL,0,0,0,NULL,1
اگزما,408,197,118.9,اگزما,درام,ایران,1395,NULL,0,0,0,NULL,1
امام علی قسمت 1,69,28,15.73,"امام علی ",تاریخی,ایران,1375,8,22,1,1,1,NULL
امام علی قسمت 10,18,8,3.51,امام علی,تاریخی,ایران,1375,8,22,10,1,1,NULL
امام علی قسمت 11,22,9,6.49,امام علی,تاریخی,ایران,1375,8,22,11,1,1,NULL
امام علی قسمت 12,21,8,6.63,امام علی,تاریخی,ایران,1375,8,22,12,1,1,NULL
امام علی قسمت 13,14,9,8.18,امام علی,تاریخی,ایران,1375,8,22,13,1,1,NULL
امام علی قسمت 14,11,8,4.58,امام علی,تاریخی,ایران,1375,8,22,14,1,1,NULL
امام علی قسمت 15,12,8,4.78,امام علی,تاریخی,ایران,1375,8,22,15,1,1,NULL
امام علی قسمت 16,23,12,7.5,امام علی,تاریخی,ایران,1375,8,22,16,1,1,NULL
امام علی قسمت 17,21,12,7.36,امام علی,تاریخی,ایران,1375,8,22,17,1,1,NULL
امام علی قسمت 18,15,10,6.45,امام علی,تاریخی,ایران,1375,8,22,18,1,1,NULL
امام علی قسمت 19,18,11,5.23,امام علی,تاریخی,ایران,1375,8,22,19,1,1,NULL
امام علی قسمت 2,30,18,8.75,"امام علی ",تاریخی,ایران,1375,8,22,2,1,1,NULL
امام علی قسمت 20,27,9,7.04,امام علی,تاریخی,ایران,1375,8,22,20,1,1,NULL
امام علی قسمت 21-22,44,12,12.59,امام علی,تاریخی,ایران,1375,8,22,21,1,1,NULL
امام علی قسمت 23-24,32,14,7.03,امام علی,تاریخی,ایران,1375,8,22,22,1,1,NULL
امام علی قسمت 3,30,12,6.77,"امام علی ",تاریخی,ایران,1375,8,22,3,1,1,NULL
امام علی قسمت 4,23,10,4.88,"امام علی ",تاریخی,ایران,1375,8,22,4,1,1,NULL
امام علی قسمت 5,24,8,5.57,"امام علی ",تاریخی,ایران,1375,8,22,5,1,1,NULL
امام علی قسمت 6,18,10,4.77,"امام علی ",تاریخی,ایران,1375,8,22,6,1,1,NULL
امام علی قسمت 7,14,9,5.35,"امام علی ",تاریخی,ایران,1375,8,22,7,1,1,NULL
امام علی قسمت 8,13,7,3,"امام علی ",تاریخی,ایران,1375,8,22,8,1,1,NULL
امام علی قسمت 9,19,8,4.14,امام علی,تاریخی,ایران,1375,8,22,9,1,1,NULL
امتیاز نهایی,72,24,22.38,امتیاز نهایی,اکشن,انگلیس,1397,7.6,0,0,0,NULL,1
انارهای نارس,6,2,2.46,NULL,درام,ایران,1393,4.8,NULL,NULL,NULL,NULL,NULL
انارهای نارس,6,2,2.46,NULL,درام,ایران,1393,4.8,NULL,NULL,NULL,NULL,NULL
انارهای نارس,6,2,2.46,NULL,درام,ایران,1393,4.8,NULL,NULL,NULL,NULL,NULL
انارهای نارس,6,2,2.46,NULL,درام,ایران,1393,4.8,NULL,NULL,NULL,NULL,NULL
انتخاب پادشاه,3,2,1.06,انتخاب پادشاه,تاریخی، درام,نروژ,1395,7.2,0,0,0,NULL,1
انتقام تیغ زرین,2,2,1.13,انتقام تیغ زرین,NULL,هنگ کنگ,1348,6.5,0,0,0,NULL,1
انتقام جویان,112,53,35.95,انتقام جویان,اکشن,"آمریکا ",1390,8.1,0,0,0,NULL,1
انتقام جویان,112,53,35.95,انتقام جویان,NULL,"آمریکا ",1390,8.1,0,0,0,NULL,1
انتقام جویان:جنگ ابدیت,151,42,37.59,انتقام جویان:جنگ ابدیت,"حادثه‌ای,فانتزی,ماجراجویی",آمریکا,1396,8.5,0,0,0,NULL,1
انتقام جویان:جنگ ابدیت ویژه ناشنوایان,68,23,13.15,انتقام جویان:جنگ ابدیت ویژه ناشنوایان,"حادثه‌ای,فانتزی,ماجراجویی",آمریکا,1396,8.5,0,0,0,NULL,1
انتقام منصفانه,25,12,5.57,انتقام منصفانه,"جنایی,حادثه‌ای,هیجان‌انگیز",آمریکا ، هلند,1364,5.5,0,0,0,NULL,1
انتقام منصفانه,25,12,5.57,انتقام منصفانه,"جنایی,حادثه‌ای,هیجان‌انگیز",آمریکا ، هلند,1364,5.5,0,0,0,NULL,1
انتقام منصفانه,25,12,5.57,انتقام منصفانه,"جنایی,حادثه‌ای,هیجان‌انگیز",آمریکا ، هلند,1364,5.5,0,0,0,NULL,1
انتقام منصفانه,25,12,5.57,انتقام منصفانه,"جنایی,حادثه‌ای,هیجان‌انگیز",آمریکا ، هلند,1364,5.5,0,0,0,NULL,1
انتقام منصفانه,25,12,5.57,انتقام منصفانه,"جنایی,حادثه‌ای,هیجان‌انگیز",آمریکا ، هلند,1364,5.5,0,0,0,NULL,1
انتقام منصفانه,25,12,5.57,انتقام منصفانه,"جنایی,حادثه‌ای,هیجان‌انگیز",آمریکا ، هلند,1364,5.5,0,0,0,NULL,1
انتهای دالانی تاریک,14,11,4.99,انتهای دالانی تاریک,ترسناک، درام,آمریکا,1397,5.2,0,0,0,NULL,1
انزوا,99,47,36.61,انزوا,NULL,ایران,1348,NULL,0,0,0,NULL,1
انقراض,97,60,31.02,انقراض,اکشن، درام، علمی-تخیلی,آمریکا,1397,5.8,0,0,0,NULL,1
انیمیشن های کوتاه 1,47,23,11.63,"انیمیشن های کوتاه ",ماجراجویی،انیمیشن،کودکان،طنز,آمریکا,1391,0,0,0,0,NULL,1
انیمیشن های کوتاه 2,45,12,5.43,"انیمیشن های کوتاه ",ماجراجویی،انیمیشن،کودکان،طنز,آمریکا,1391,0,0,0,0,NULL,1
انیمیشن های کوتاه 3,27,11,5.63,"انیمیشن های کوتاه ",ماجراجویی،انیمیشن،کودکان،طنز,آمریکا,1391,0,0,0,0,NULL,1
انیمیشن های کوتاه 4,8,3,1.65,"انیمیشن های کوتاه ",ماجراجویی،انیمیشن،کودکان،طنز,آمریکا,1391,0,0,0,0,NULL,1
اواسط دهه 90,23,18,10.99,NULL,درام،کمدی,آمریکا,1397,7.4,NULL,NULL,NULL,NULL,NULL
اواسط دهه 90,23,18,10.99,NULL,درام،کمدی,آمریکا,1397,7.4,NULL,NULL,NULL,NULL,NULL
اواسط دهه 90,23,18,10.99,NULL,درام،کمدی,آمریکا,1397,7.4,NULL,NULL,NULL,NULL,NULL
اواسط دهه 90,23,18,10.99,NULL,درام،کمدی,آمریکا,1397,7.4,NULL,NULL,NULL,NULL,NULL
اواسط دهه 90,23,18,10.99,NULL,درام،کمدی,آمریکا,1397,7.4,NULL,NULL,NULL,NULL,NULL
فانوس سبز,109,38,28.25,فانوس سبز,NULL,آمریکا,1388,5.5,0,0,0,NULL,1
فراتر از سرعت,71,52,17.91,فراتر از سرعت,اکشن،هیجان انگیز,"آمریکا ",1395,5.4,0,0,0,NULL,1
فرار از زندان فصل 4 قسمت 1,221,129,57.49,"فرار از زندان  4 ",جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,1,4,1,NULL
فرار از زندان فصل 4 قسمت 10,111,58,31.36,فرار از زندان  4 0,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,10,4,1,NULL
فرار از زندان فصل 4 قسمت 11,106,54,27.93,فرار از زندان  4 1,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,11,4,1,NULL
فرار از زندان فصل 4 قسمت 12,111,49,33.57,فرار از زندان  4 2,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,12,4,1,NULL
فرار از زندان فصل 4 قسمت 13,85,49,27.96,فرار از زندان  4 3,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,13,4,1,NULL
فرار از زندان فصل 4 قسمت 14,95,45,26.41,فرار از زندان  4 4,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,14,4,1,NULL
فرار از زندان فصل 4 قسمت 15,98,42,25.67,فرار از زندان  4 5,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,15,4,1,NULL
فرار از زندان فصل 4 قسمت 16,96,40,24.2,فرار از زندان  4 6,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,16,4,1,NULL
فرار از زندان فصل 4 قسمت 17,88,38,22.75,فرار از زندان  4 7,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,17,4,1,NULL
فرار از زندان فصل 4 قسمت 18,78,36,24.79,فرار از زندان  4 8,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,18,4,1,NULL
فرار از زندان فصل 4 قسمت 19,68,35,19.79,فرار از زندان  4 9,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,19,4,1,NULL
فرار از زندان فصل 4 قسمت 2,163,73,41.23,"فرار از زندان  4 ",جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,2,4,1,NULL
فرار از زندان فصل 4 قسمت 20,91,43,25.12,فرار از زندان  4 0,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,20,4,1,NULL
فرار از زندان فصل 4 قسمت 21,94,40,26.86,فرار از زندان  4 1,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,21,4,1,NULL
فرار از زندان فصل 4 قسمت 22,106,52,34.97,فرار از زندان  4 2,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,22,4,1,NULL
فرار از زندان فصل 4 قسمت 23,91,44,25.16,فرار از زندان  4 3,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,23,4,1,NULL
فرار از زندان فصل 4 قسمت 24,181,125,47.28,فرار از زندان  4 4,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,24,4,1,NULL
فرار از زندان فصل 4 قسمت 3,127,62,40.51,"فرار از زندان  4 ",جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,3,4,1,NULL
فرار از زندان فصل 4 قسمت 4,127,59,31.75,"فرار از زندان  4 ",جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,4,4,1,NULL
فرار از زندان فصل 4 قسمت 5,129,61,35.96,"فرار از زندان  4 ",جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,5,4,1,NULL
فرار از زندان فصل 4 قسمت 6,120,57,32.77,"فرار از زندان  4 ",جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,6,4,1,NULL
فرار از زندان فصل 4 قسمت 7,118,61,30.72,"فرار از زندان  4 ",جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,7,4,1,NULL
فرار از زندان فصل 4 قسمت 8,130,56,30.75,"فرار از زندان  4 ",جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,8,4,1,NULL
فرار از زندان فصل 4 قسمت 9,112,59,31.75,فرار از زندان  4,جنایی،درام،هیجان انگیز،اکشن,آمریکا,1387,8.4,24,9,4,1,NULL
فرازمان,12,9,7.33,فرازمان,NULL,آمریکا,1385,0,0,0,0,NULL,1
فراماشینی,31,19,7.45,فراماشینی,علمی-تخیلی،هیجان انگیز,انگلیس,1394,7.7,0,0,0,NULL,1
فراموشی,87,43,23.19,فراموشی,"حادثه‌ای,رازآلود ,علمی-تخیلی,ماجراجویی",آمریکا,1391,7,0,0,0,NULL,1
فراموشی,87,43,23.19,فراموشی,"حادثه‌ای,رازآلود ,علمی-تخیلی,ماجراجویی",آمریکا,1391,7,0,0,0,NULL,1
فراموشی,87,43,23.19,فراموشی,"حادثه‌ای,رازآلود ,علمی-تخیلی,ماجراجویی",آمریکا,1391,7,0,0,0,NULL,1
فراموشی,87,43,23.19,فراموشی,"حادثه‌ای,رازآلود ,علمی-تخیلی,ماجراجویی",آمریکا,1391,7,0,0,0,NULL,1
فراموشی,87,43,23.19,فراموشی,"حادثه‌ای,رازآلود ,علمی-تخیلی,ماجراجویی",آمریکا,1391,7,0,0,0,NULL,1
فراموشی,87,43,23.19,فراموشی,"حادثه‌ای,رازآلود ,علمی-تخیلی,ماجراجویی",آمریکا,1391,7,0,0,0,NULL,1
فردیناند,248,82,74.35,فردیناند,"انیمیشن,طنز,ماجراجویی",آمریکا,1396,6.7,0,0,0,NULL,1
فردیناند,248,82,74.35,فردیناند,"انیمیشن,طنز,ماجراجویی",آمریکا,1396,6.7,0,0,0,NULL,1
فردیناند,248,82,74.35,فردیناند,"انیمیشن,طنز,ماجراجویی",آمریکا,1396,6.7,0,0,0,NULL,1
فردیناند,248,82,74.35,فردیناند,"انیمیشن,طنز,ماجراجویی",آمریکا,1396,6.7,0,0,0,NULL,1
فردیناند,248,82,74.35,فردیناند,"انیمیشن,طنز,ماجراجویی",آمریکا,1396,6.7,0,0,0,NULL,1
فردیناند,248,82,74.35,فردیناند,"انیمیشن,طنز,ماجراجویی",آمریکا,1396,6.7,0,0,0,NULL,1
فردیناند,248,82,74.35,فردیناند,"انیمیشن,طنز,ماجراجویی",آمریکا,1396,6.7,0,0,0,NULL,1
فرستاده,27,17,12.15,فرستاده,مذهبی,ایران,1382,0,0,0,0,NULL,1
فرشته ها با هم می آیند,128,47,29.54,فرشته ها با هم می آیند,NULL,ایران,1392,0,0,0,0,NULL,1
فرقه قاتل,2,2,0.44,فرقه قاتل,NULL,آمریکا,1395,5.8,0,0,0,NULL,1
فرمانروا,294,129,88.09,فرمانروا,اکشن،ماجراجویی،هیجان انگیز,"هند ",1395,5,0,0,0,NULL,1
فرمانروا,294,129,88.09,فرمانروا,NULL,"هند ",1395,5,0,0,0,NULL,1
فرود در غربت,15,9,6.01,فرود در غربت,اجتماعی،ماجراجویی،اکشن,ایران,1386,0,0,0,0,NULL,1
فروشنده چینی,100,37,30.13,فروشنده چینی,اکشن,چین,1396,3.2,0,0,0,NULL,1
فریب فصل 1 قسمت 1,22,5,3.15,"فریب  ",درام,آمریکا,1397,7.5,13,1,1,1,NULL
فریب فصل 1 قسمت 10,4,4,2.61,"فریب  ",درام,آمریکا,1397,7.5,13,10,1,1,NULL
فریب فصل 1 قسمت 11,5,4,2.84,"فریب  ",درام,آمریکا,1397,7.5,13,11,1,1,NULL
فریب فصل 1 قسمت 12,8,3,2.51,"فریب  ",درام,آمریکا,1397,7.5,13,12,1,1,NULL
فریب فصل 1 قسمت 13,7,3,2.77,"فریب  ",درام,آمریکا,1397,7.5,13,13,1,1,NULL
فریب فصل 1 قسمت 2,8,5,3.25,"فریب  ",درام,آمریکا,1397,7.5,13,2,1,1,NULL
فریب فصل 1 قسمت 3,5,3,1.95,"فریب  ",درام,آمریکا,1397,7.5,13,3,1,1,NULL
فریب فصل 1 قسمت 4,4,4,3,"فریب  ",درام,آمریکا,1397,7.5,13,4,1,1,NULL
فریب فصل 1 قسمت 5,9,4,2.66,"فریب  ",درام,آمریکا,1397,7.5,13,5,1,1,NULL
فریب فصل 1 قسمت 6,7,4,2.38,"فریب  ",درام,آمریکا,1397,7.5,13,6,1,1,NULL
فریب فصل 1 قسمت 7,7,4,2.99,"فریب  ",درام,آمریکا,1397,7.5,13,7,1,1,NULL
فریب فصل 1 قسمت 8,6,5,3,"فریب  ",درام,آمریکا,1397,7.5,13,8,1,1,NULL
فریب فصل 1 قسمت 9,4,4,2.75,"فریب  ",درام,آمریکا,1397,7.5,13,9,1,1,NULL
فرینج 2 قسمت 1,7,6,5.01,"فرینج 2 ",هیجان انگیز،علمی-تخیلی،رازآلود،,آمریکا,1391,8.4,19,1,2,1,NULL
فرینج 2 قسمت 10,9,3,1.85,"فرینج 2 ",هیجان انگیز،علمی-تخیلی،رازآلود،,آمریکا,1391,8.4,19,10,2,1,NULL
فرینج 2 قسمت 11,7,3,1.57,"فرینج 2 ",هیجان انگیز،علمی-تخیلی،رازآلود،,آمریکا,1391,8.4,19,11,2,1,NULL
فرینج 2 قسمت 12,6,2,0.85,"فرینج 2 ",هیجان انگیز،علمی-تخیلی،رازآلود،,آمریکا,1391,8.4,19,12,2,1,NULL
فرینج 2 قسمت 13,8,2,0.99,"فرینج 2 ",هیجان انگیز،علمی-تخیلی،رازآلود،,آمریکا,1391,8.4,19,13,2,1,NULL
فرینج 2 قسمت 14,4,2,0.63,"فرینج 2 ",هیجان انگیز،علمی-تخیلی،رازآلود،,آمریکا,1391,8.4,19,14,2,1,NULL
فرینج 2 قسمت 15,5,2,0.56,"فرینج 2 ",هیجان انگیز،علمی-تخیلی،رازآلود،,آمریکا,1391,8.4,19,15,2,1,NULL
فرینج 2 قسمت 16,7,2,0.54,"فرینج 2 ",هیجان انگیز،علمی-تخیلی،رازآلود،,آمریکا,1391,8.4,19,16,2,1,NULL
